,ticker,date,time,title,compound
160,GOOGL,May-11-23,04:43PM,"Google, Amazon Lead Split Market; Tesla Pops On Elon Musk's Twitter News; Debt-Ceiling Talks Delayed",-0.0516
161,GOOGL,May-11-23,04:35PM,AWS Announces Amazon Aurora I/O-Optimized,0.1779
162,GOOGL,May-11-23,02:06PM,Pinterest Aspires To Do Something No Social Media Platform Ever Has done,-0.296
163,GOOGL,May-11-23,01:36PM,Target Is Doing Something To Reach Customers in a New Way,0.0258
164,GOOGL,May-11-23,12:00PM,Amazon Will Pay You $10 To Pick Up Your Order in Store  Heres How To Get the Cash,0.0772
165,GOOGL,May-11-23,11:34AM,"Amazon Finds Its Pay Attractive, Leaving It Unfazed By Unionization Frenzy: Report",0.2263
166,GOOGL,May-11-23,10:00AM,2 Reasons to Buy Amazon Stock That You Don't Already Know About,0.1779
167,GOOGL,May-11-23,08:58AM,Morgan Stanleys Top 5 Stock Picks For 2023,0.2023
168,GOOGL,May-11-23,08:30AM,3 Top E-Commerce Stocks to Buy in May,0.2023
169,GOOGL,May-11-23,08:12AM,Italy wrestles with antitrust loophole that could save Amazon a packet,0.5994
170,GOOGL,May-11-23,07:36AM,5 High-Flying Bigwigs to Buy for Long -Term Gains,0.34
171,GOOGL,May-11-23,07:15AM,"Walmart, Amazon and Other Retailers Are Going Deeper Into Advertising",0.1779
172,GOOGL,May-11-23,06:22AM,Amazon Is About to Do Something It Hasn't Since 2015. Here's What It Means for Investors.,0.1779
173,GOOGL,May-11-23,05:59AM,AI Software Revenue Is Soaring Toward $14 Trillion: 2 Growth Stocks to Buy Now and Hold,0.3818
174,GOOGL,May-11-23,05:30AM,"Up 25%, Is Amazon Stock a Buy?",0.1779
175,GOOGL,May-11-23,05:26AM,A Bull Market in Artificial Intelligence Is Coming: 2 AI Stocks to Buy Right Now,0.4767
176,GOOGL,May-11-23,05:15AM,Shopify Just Made a Brilliant Move. Time to Buy the Stock?,0.5859
177,GOOGL,May-10-23,10:12PM,Amazon to receive $1 billion in tax breaks in eastern Oregon for new data centers,0.1779
178,GOOGL,May-10-23,07:54PM,Amazon reportedly has more AI features in development for Astro robot,0.1779
179,GOOGL,May-10-23,07:00PM,Which Amazon Services Are Worth the Money?,0.3818
180,GOOGL,May-10-23,06:00PM,Making Returns on Amazon? Here's Why You Need to Be Careful,0.3182
181,GOOGL,May-10-23,05:15PM,15 of Your Favorite Companies That Have Gone Out of Business,0.4588
182,GOOGL,May-10-23,03:39PM,"Why indie pharmacies, with the help of the likes of Mark Cuban, may be on the rise",0.6705
